GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kaixo,es.ull.passengers,Passenger,50,39,7,3,9,14,8,5,3,5
Kaixo,es.ull.flights,Flight,16,39,1,1,4,9,2,4,1,4
